,IDLattes,DuracaoDoutorado,Genero,GrandesAreas,ExclusividadeDoutorado,Publicacoes,IdadeAcademica,ListaFiliacoes,UltimaFiliacao,HistoricoFiliacoesEmIESInternacional,UltimaFiliacaoEmIES
24,565598534943,5.0, , , ,8.0,19.0,FINANCIADORA ESTUDOS PROJETOS; CONSELHO NACIONAL DESENVOLVIMENTO CIENTIFICO TECNOLOGICO,,0,0
25,586522598978,5.0, , , ,12.0,8.0,GOVERNO ESTADO RIO GRANDE SUL; PREFEITURA MUNICIPAL GETULIO VARGAS; COOPERATIVAS CREDITO RURAL COM INTERACAO SOLIDARIA; UNIVERSIDADE FEDERAL RIO GRANDE SUL; SABERES FAZERES EDUCATIVOS; UNIVERSIDADE PASSO FUNDO; INSTITUTO FEDERAL FARROUPILHA; UNIVERSIDADE REGIONAL INTEGRADA ALTO URUGUAI DAS MISSOES,UNIVERSIDADE FEDERAL RIO GRANDE SUL,0,1
26,600950491608,3.0, , , ,1.0,3.0,SAO CAMILO EDUCACAO CARIRI; PREFEITURA MUNICIPAL NOVA OLINDACE; UNIVERSIDADE ESTADUAL VALE ACARAU; ESCOLINHA NOSSO MUNDO SA LTDA; CHAVES SA MINERACAO INDUSTRIA; TEMATEL SP TELECOMUNICACOES ELETRONICA LTDA; PETROBRAS TRANSPORTE MATRIZ; COMPANHIA PETROQUIMICA PERNAMBUCO PETROQUIMICA SUAPE; PREFEITURA MUNICIPAL CRATO; UNIVERSIDADE REGIONAL CARIRI; MINISTERIO SAUDE,MINISTERIO SAUDE,0,0
27,601083852823,3.0, , , ,14.0,15.0,UNIVERSIDADE FEDERAL ESPIRITO SANTO; UNIVERSIDADE FEDERAL EPIRITO SANTO; HOSPITAL ISRAELITA ALBERT EINSTEIN,HOSPITAL ISRAELITA ALBERT EINSTEIN,1,1
28,605216639909,3.0, , , ,23.0,10.0,SERVICO SOCIAL AUTONOMO PARANEDUCACAO; SECRETARIA ESTADO EDUCACAO PARANA; SECRETARIA ESTADO EDUCACAO PARANA NUCLEO R EDUCACAO MARINGA; PREFEITURA MUNICIPAL NOVA LONDRINA; FACULDADE INTERMUNICIPAL NOROESTE PARANA; UNIVERSIDADE ESTADUAL MARINGA; UNIVERSIDADE ESTADUAL LONDRINA; REEC REVISTA ELECTRONICA ENSENANZA LAS CIENCIAS; UNIVERSIDADE TECNOLOGICA FEDERAL PARANA; EDUCACAO TEORIA PRATICA,EDUCACAO TEORIA PRATICA,0,0
29,649952959402,3.0, , , ,126.0,27.0,UNIVERSIDADE FEDERAL SAO PAULO; ESCOLA PAULISTA MEDICINA; INTERNATIONAL BRAZ J UROL; ACTA CIRURGICA BRASILEIRA; SAO PAULO MEDICAL JOURNAL; CLINICS USP IMPRESSO,,1,0
30,652628912861,4.0, , , ,9.0,3.0,UNIVERSIDADE PAULISTA; CENTRO UNIVERSITARIO SALESIANO SAO PAULO; TRENCH ROSSI WATANABE ADVOGADOS ASSOCIADOS; FONSECA SOUZA ROLIM SUANNES ADVOGADOS ASSOCIADOS,CENTRO UNIVERSITARIO SALESIANO SAO PAULO,0,1
31,677340603200,4.0, , , ,1.0,4.0,UNIVERSIDAD INTERNACIONAL SEK; PONTIFICIA UNIVERSIDAD CATOLICA VALPARAISO; UNIVERSIDAD TECNICA FEDERICO SANTA MARIA CHILE; UNIVERSIDAD CATOLICA DEL MAULE; CENTRO FORMACAO TECNICA PROANDES; MINISTERIO EDUCACAO CHILE; UNIVERSIDADE CHILE; UNIVERSIDAD CATOLICA DEL MALUE; UNIVERSIDAD PLAYA ANCHA; UNIVERSIDAD CATOLICA CARDENAL SILVA HENRIQUEZ; UNIVERSIDAD DEL MAR; UNIVERSIDAD AMERICANA; INSTITUTO INTERNACIONAL VISOES EDUCACIONAIS; UNIVERSIDAD DESARROLLO SUSTENTABLE; VISION EDUCACIONAL CHILE,UNIVERSIDAD DESARROLLO SUSTENTABLE,1,1
32,698933125572,4.0, , , ,12.0,21.0,NATRON CONSULTORIA PROJETOS; INSTITUTO PESQUISA ESTUDOS INDUSTRIAIS; UNIVERSIDADE SAO PAULO; REVISTA MEXICANA INGENIERIA QUIMICA; REVISTA BRASILEIRA INOVACAO; JOURNAL OF APPLIED POLYMER SCIENCE ONLINE; BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING IMPRESSO; ACADEMIC FOOD JOURNAL; INTERNATIONAL JOURNAL OF FOOD STUDIES; FAPESP FUNDACAO AMPARO A PESQUISA ESTADO SAO PAULO; FOOD AND BIOPRODUCTS PROCESSING; LEBENSMITTEL WISSENSCHAFT TECHNOLOGIE FOOD SCIENCE TECHNOLOGY; FOOD SCIENCE AND TECHNOLOGY; JOURNAL OF FOOD SCIENCE AND TECHNOLOGY MYSORE; FUNDACAO RONDONIA AMPARO AO DESENVOLVIMENTO DAS ACOES CIENTIFICAS TECN; LWT FOOD SCIENCE AND TECHNOLOGY; PROCESS BIOCHEMISTRY,LWT FOOD SCIENCE AND TECHNOLOGY; PROCESS BIOCHEMISTRY,1,1
33,764891947393,3.0, , , ,25.0,11.0,UNIVERSIDADE FEDERAL RIO GRANDE SUL; SISTEMA EDUCACIONAL GALILEU; GERODONTOLOGY; INTERNATIONAL JOURNAL OF DENTISTRY; INSTITUTO ADMINISTRACAO HOSPITALAR CIENCIAS SAUDE IAHCS; CADERNOS SAUDE PUBLICA; REVISTA SAUDE PUBLICA IMPRESSO; BMC ORAL HEALTH ONLINE; INTERNATIONAL JOURNAL OF ORAL AND DENTAL HEALTH; BRAZILIAN ORAL RESEARCH; MINI REVIEWS IN MEDICINAL CHEMISTRY; CIENCIA SAUDE COLETIVA IMPRESSO; SCITZ DENTISTRY RESEARCH AMP THERAPY; REVISTA ABENO; JOURNAL OF THE AMERICAN GERIATRICS SOCIETY; COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY,COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY,1,0
34,778077496599,4.0, , , ,75.0,14.0,FUNDACAO OSWALDO CRUZ; UNIVERSIDADE ESTACIO SA; UNIVERSIDADE FEDERAL MINAS GERAIS; UNIVERSIDADE GRANDE RIO; UNIVERSIDAD NACIONAL LA PLATA; UNIVERSIDAD NACIONAL MAR DEL PLATA; UNIVERSIDADE FEDERAL RURAL RIO JANEIRO; UNIVERSIDADE FEDERAL RIO GRANDE NORTE; SOCIEDADE BRASILEIRA ENTOMOLOGIA; SOCIEDADE BRASILEIRA ZOOLOGIA; ENTOMOLOGICAL SOCIETY OF AMERICA; INTERNATIONAL SOCIETY OF PHTHIRAPTERISTS; FIELD MUSEUM OF NATURAL HISTORY; MUSEU ZOOLOGIA UNIVERSIDADE SAO PAULO; FAPESP FUNDACAO AMPARO A PESQUISA ESTADO SAO PAULO; ZOOTAXA ONLINE; GAYANA CONCEPCION IMPRESA; NEOTROPICAL ENTOMOLOGY IMPRESSO; EUROPEAN JOURNAL OF ENTOMOLOGY CESKE BUDEJOVICE PRINT; REVISTA LA SOCIEDAD ENTOMOLOGICA ARGENTINA; REVISTA BRASILEIRA ENTOMOLOGIA IMPRESSO; THE JOURNAL OF PARASITOLOGY; CHIROPTERA NEOTROPICAL; ACTA PARASITOLOGICA; REVISTA BRASILEIRA ORNITOLOGIA; REVISTA LA SOCIEDAD VENEZOLANA MICROBIOLOGIA; PARASITOLOGY RESEARCH 1987 PRINT; CARIBBEAN JOURNAL OF SCIENCE; JOURNAL OF INSECT SCIENCE; INTERNATIONAL JOURNAL OF ACAROLOGY; PARASITOLOGY CAMBRIDGE ONLINE; INSECT CONSERVATION AND DIVERSITY; REVISTA BRASILEIRA PARASITOLOGIA VETERINARIA IMPRESSO; BIOTA NEOTROPICA EDICAO EM PORTUGUES IMPRESSO; INTERNATIONAL JOURNAL FOR PARASITOLOGY PARASITES AND WILDLIFE; REVISTA MVZ CORDOBA; BEITRAGE ZUR ENTOMOLOGIE; JOURNAL OF MEDICAL ENTOMOLOGY; COMPARATIVE PARASITOLOGY; THE NEW ZEALAND ENTOMOLOGIST; ZOOLOGIA; UNIVERSIDADE IGUACU; UNIVERSIDADE SANTA URSULA,UNIVERSIDADE SANTA URSULA,1,1
35,793038362058,5.0, , , ,103.0,22.0,BANCO BRASIL; GENAREX CONTROLES GERAIS; UNIVERSIDADE ARARAQUARA; INSTITUTO MUNICIPAL MATONENSE ENSINO SUPERIOR; CENTRO UNIVERSITARIO MOURA LACERDA; CENTRO UNIVERSITARIO CENTRAL PAULISTA; FACULDADES EINSTEIN LIMEIRA; FACULDADE SANTA GIULIA; UNIVERSIDADE ESTADUAL PAULISTA; FACULDADES INTEGRADAS SAO CARLOS; UNIVERSIDADE FEDERAL SAO CARLOS; UNIVERSIDADE METODISTA PIRACICABA; ESCOLA ENGENHARIA SAO CARLOS; GESTAO PRODUCAO UFSCAR; REVISTA CIENCIAS ADMINISTRACAO CADUFSC; ORGANIZACOES RURAIS AGROINDUSTRIAIS; RAI REVISTA ADMINISTRACAO INOVACAO; RAE IMPRESSO; FUNDACAO AMPARO A PESQUISA ESTADO SAO PAULO; BASE SAO LEOPOLDO ONLINE; RECADM REVISTA ELETRONICA CIENCIA ADMINISTRATIVA; PERSPECTIVAS CONTEMPORANEAS; JOSCM JOURNAL OF OPERATIONS AND SUPPLY CHAIN MANAGEMENT; REVISTA ALVARES PENTEADO CESSOU EM 2003 CONT ISSN 1806 4892 REVISTA BRAS; REVISTA ADMINISTRACAO UNIMEP; FAPESP FUNDACAO AMPARO A PESQUISA ESTADO SAO PAULO; CNPQ CONSELHO NACIONAL DESENVOLVIMENTO CIENTIFICO TECNOLOGICO; RAESIMPOI EDICAO ESPECIAL; CAPES COORDENACAO APERFEICOAMENTO PESSOAL NIVEL SUPERIOR; REVISTA BRASILEIRA GESTAO NEGOCIOS SAO PAULO IMPRESSO; REVISTA BASE REVISTA ADMONISTRACAO CONTABILIDADE UNISINOS; UNIVERSIDADE POSITIVO; CADERNO PROFISSIONAL ADMINISTRACAO UNIMEP; REVISTA ELETRONICA ORGANIZACOES SOCIEDADE; FUNDACAO GETULIO VARGAS; UNIVERSIDADE FEDERAL MINAS GERAIS; GESTAO AMP PRODUCAO UFSCAR IMPRESSO; UNIVERSITY OF CALIFORNIA SYSTEM; RESEARCH POLICY AND STRATEGIC MANAGEMENT,GESTAO AMP PRODUCAO UFSCAR IMPRESSO; RESEARCH POLICY AND STRATEGIC MANAGEMENT,1,0
36,835648780584,4.0, , , ,1.0,4.0,AGROMUNDO; BARPEN INTERNATIONAL; INVERSIONES DEL AGRO; CORPORACION COLOMBIANA INVESTIGACION AGROPECUARIA; UNIVERSIDADE ESTADUAL LONDRINA; INSTITUTO AGRONOMICO PARANA; MONSANTO BRASIL MATRIZ,MONSANTO BRASIL MATRIZ,1,1
37,868072508462,4.0, , , ,49.0,10.0,ASSOCIACAO LAR MENORES; CENTRO UNIVERSITARIO NORTE PAULISTA; ESCOLA ESTADUAL PROFESSOR JOSE FELICIO MIZIARA; FACULDADE INTERATIVA COC; M PROFESSORA ELIANA BERTAZONI DOS REIS; M S PROFESSOR ADEMIR DIB; UNIVERSIDADE FEDERAL SAO CARLOS; INSTITUTO VIDA; ASSOCIACAO ASSITENCIAL STELLA MAGALHAES VENDRAMINI; SECRETARIA GERAL EDUCACAO A DISTANCIA UAB UFSCAR; UNIVERSIDADE FEDERAL PARA; CENTRO INVESTIGACION Y ENSENANZA DEL LENGUAJE; UNIVERSITAT BARCELONA; AUTISM SUPPORT SERVICES EDUCATION RESEARCH AND TRAINING; ASSOCIACAO HORIZONTES; ESCOLA SUPERIOR TECNOLOGIA EDUCACAO PORTO FERREIRA; CENTRO UNIVERSITARIO ADVENTISTA SAO PAULO; FACULDADE TECNOLOGIA CIENCIAS EDUCACAO; UNIVERSIDADE ARARAQUARA; APAE PORTO FERREIRA; FACULDADES LOGATTI; CENTRO APRENDIZAGEM DESENVOLVIMENTO; REVISTA PEDAGOGIA EM FOCO; UNIVERSIDADE FEDERAL ABC; REVISTA COMPARTILHAR; CONSELHO NACIONAL DESENVOLVIMENTO CIENTIFICO TECNOLOGICO; REVISTA BRASILEIRA EDUCACAO ESPECIAL,CONSELHO NACIONAL DESENVOLVIMENTO CIENTIFICO TECNOLOGICO,1,0
38,890654451880,4.0, , , ,9.0,5.0,UNIVERSIDADE FEDERAL PIAUI; FUNDACAO MUNICIPAL SAUDE; UNIVERSIDADE ESTADUAL PIAUI; CENTRO UNIVERSITARIO SANTO AGOSTINHO,CENTRO UNIVERSITARIO SANTO AGOSTINHO,0,1
39,897160930809,3.0, , , ,2.0,3.0,CONSELHO NACIONAL DESENVOLVIMENTO CIENTIFICO TECNOLOGICO; FACULDADES INTEGRADAS PITAGORAS; ENGENHARIA MECANICA ESTRUTURAS METALICAS SA; USINAS SIDERURGICAS MINAS GERAIS; COMPANHIA SIDERURGICA NACIONAL,FACULDADES INTEGRADAS PITAGORAS; COMPANHIA SIDERURGICA NACIONAL,0,0
40,912269667477,2.0, , , ,215.0,25.0,UNIVERSIDADE FEDERAL PERNAMBUCO; UNIVERSIDADE PERNAMBUCO; ACADEMIC CENTRE OF DENTISTRY OF AMSTERDAM; CADERNOS SAUDE PUBLICA FIOCRUZ; JOURNAL OF APPLIED ORAL SCIENCE; ROPE REVISTA INTERNACIONAL ODONTO PSICOLOGIA ODONTOLOGIA PARA PACIENT; PSICOLOGIA EM ESTUDO; FUNDACAO AMPARO A CIENCIA TECNOLOGIA ESTADO PERNAMBUCO; INTERNATIONAL JOURNAL OF PAEDIATRIC DENTISTRY PRINT; FINANCIADORA ESTUDOS PROJETOS; COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY; ARQUIVOS EM ODONTOLOGIA; ADOLESCENCIA AMP SAUDE; BRAZILIAN ORAL RESEARCH,BRAZILIAN ORAL RESEARCH,1,0
41,915103413742,4.0, , , ,23.0,25.0,UNIVERSIDADE FEDERAL PERNAMBUCO; UNIVERSIDAD SALAMANCA; REVISTA ANTHROPOLOGICAS; EDITORA UNIVERSITARIA UFPE; REVISTA MASSANGANA; UNIVERSITAT BARCELONA; UNIVERSIDAD COMPLUTENSE MADRID; INSTITUTO SUPERIOR CIENCIA TRABALHO EMPRESA; INSTITUTO CIENCIAS SOCIAIS UNIVERSIDADE LISBOA ICS PORTUGAL; UNIVERSIDAD LA CORUNA; ECOLE DES HAUTES ETUDES EN SCIENCES SOCIALES PARIS; ASSOCIACAO BRASILEIRA ANTROPOLOGIA; INSTITUTO BRASILEIRO MUSEUS; THE INTERNATIONAL COUNCIL OF MUSEUMS; ANAIS MUSEU HISTORICO NACIONAL; UNIVERSIDADE FEDERAL PARAIBA; UNIVERSIDADE FEDERAL RORAIMA; MINISTERIO CULTURA; CONSELHO NACIONAL DESENVOLVIMENTO CIENTIFICO TECNOLOGICO; COORDENACAO APERFEICOAMENTO PESSOAL NIVEL SUPERIOR; ASSOCIACAO NACIONAL POS GRADUACAO PESQUISA EM CIENCIAS SOCIAIS; UNIVERSITY OF OXFORD; LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE LSE; REVISTA ANTROPOLOGIA USP IMPRESSO 003 4770; INSTITUTO PATRIMONIO HISTORICO ARTISTICO NACIONAL; UNIVERSIDADE FEDERAL PE,UNIVERSIDADE FEDERAL PE,1,0
42,934973237500,4.0, , , ,28.0,29.0,UNIVERSIDADE FEDERAL RIO JANEIRO; UNIVERSIDADE ESTADUAL NORTE FLUMINENSE DARCY RIBEIRO; CENTRO PESQUISA GONCALO MUNIZ FIOCRUZ; UNIVERSIDADE FEDERAL BAHIA; UNIVERSIDADE ESTADUAL FEIRA SANTANA; CENTRO BIOTECNOLOGIA TERAPIA CELULAR HOSPITAL SAO RAFAEL,UNIVERSIDADE FEDERAL BAHIA,0,1
43,937824659650,6.0, , , ,25.0,24.0,EMPRESA PESQUISA AGROPECUARIA CEARA; EMPRESA BRASILEIRA PESQUISA AGROPECUARIA; INSTITUTO CENTRO ENSINO TECNOLOGICO; UNIVERSIDADE FEDERAL CEARA,EMPRESA BRASILEIRA PESQUISA AGROPECUARIA; INSTITUTO CENTRO ENSINO TECNOLOGICO,0,0
44,999141141164,5.0, , , ,4.0,11.0,UNIVERSIDADE FEDERAL TRIANGULO MINEIRO; UNIVERSIDADE SAO PAULO; LEIDEN UNIVERSITY MEDICAL CENTER,LEIDEN UNIVERSITY MEDICAL CENTER,1,1
