,IDLattes,DuracaoDoutorado,Genero,GrandesAreas,ExclusividadeDoutorado,Publicacoes,IdadeAcademica,ListaFiliacoes,UltimaFiliacao,HistoricoFiliacoesEmIESInternacional,UltimaFiliacaoEmIES,ListaIESInternacional,PrimeiraArea,PrimeiraAreaNumeric
10,1000373295613338,4.0,0,CIENCIAS SOCIAIS APLICADAS,0,11.0,8.0,UNIVERSIDADE FEDERAL MINAS GERAIS; FACULDADES ARNALDO JANSSEN; UNIVERSIDADE SALGADO OLIVEIRA; DEFENSORIA PUBLICA ESTADO MINAS GERAIS; CENTRO GESTAO EMPRESARIAL; NOVA FACULDADE; PRIM FACIE; ATUACAO REVISTA JURIDICA MINISTERIO PUBLICO SANTA CATARINA; CONPEDI; REVISTA DIREITOS FUNDAMENTAIS AMP DEMOCRACIA UNIBRASIL; AD VERUM CERS COMPLEXO ESTUDOS RENATO SARAIVA; REVISTA DEFENSORIA PUBLICA UNIAO; FACULDADE CIENCIAS SOCIAIS APLICADAS BELO HORIZONTE; REVISTA DEFENSORIA PUBLICA ESTADO MINAS GERAIS,DEFENSORIA PUBLICA ESTADO MINAS GERAIS; REVISTA DEFENSORIA PUBLICA ESTADO MINAS GERAIS,0,0,BR/BR/BR/BR/BR,CIENCIAS SOCIAIS APLICADAS,5
11,1000374806306312,2.0,1,CIENCIAS HUMANAS,1,7.0,3.0,COLEGIO NOSSA SENHORA FATIMA; ESPACO ARTE CULTURA DIACONO PAULO ANDRE; INSTITUTO FEDERAL EDUCACAO CIENCIA TECNOLOGIA RIO GRANDE NORTE; FACULDADE CIENCIAS EMPRESARIAIS NATAL; ESCOLA MUNICIPAL PROF ZUZA; ASSOCIACAO POTIGUAR AULAS PARTICULARES; UNIVERSIDADE FEDERAL RURAL AMAZONIA,UNIVERSIDADE FEDERAL RURAL AMAZONIA,0,1,BR/BR/BR,CIENCIAS HUMANAS,6
12,1000470187493006,3.0,0,ENGENHARIAS; CIENCIAS EXATAS E DA TERRA,0,3.0,11.0,CENTRO PESQUISA DESENVOLVIMENTO LEOPOLDO AMERICO MIGUEZ MELLO; CHEVRON ENERGY TECHNOLOGY COMPANY; CHEVRON TECHNOLOGY PROJECTS AND SERVICES; CHEVRON BRASIL PETROLEO; PETROLEO BRASILEIRO SA,CHEVRON TECHNOLOGY PROJECTS AND SERVICES,1,1,US/AU,ENGENHARIAS,3
13,1000498199258062,3.0,0,CIENCIAS AGRARIAS,1,41.0,4.0,UNIVERSIDADE ESTADUAL LONDRINA; UNIVERSITY FEDERALO SAO CARLOS BRAZIL; LA PRESTACAO SERVICOS RURAIS; DOW BRASIL; AFRICAN JOURNAL OF BIOTECHNOLOGY; INTERNATIONAL JOURNAL OF PLANT AMP SOIL SCIENCE; AFRICAN JOURNAL OF AGRICULTURAL RESEARCH; UNIVERSITY OF WISCONSIN MADISON; HORTICULTURA BRASILEIRA,UNIVERSIDADE ESTADUAL LONDRINA,1,1,BR/PH/US,CIENCIAS AGRARIAS,2
14,1000506759150876,2.0,1,CIENCIAS HUMANAS,0,1.0,2.0,UNIVERSIDADE ABERTA LISBOA; REVISTA EDAPECI EDUCACAO A DISTANCIA PRATICAS EDUCATIVAS COMUNICACIONAIS, ,1,0,PT,CIENCIAS HUMANAS,6
15,1000528740958810,4.0,0,ENGENHARIAS; CIENCIAS EXATAS E DA TERRA; OUTROS,0,22.0,19.0,UNIVERSIDADE ESTADO RIO JANEIRO; ESCOLA NAVAL; FERMILAB; ORGANIZACAO EUROPEIA PARA PESQUISA NUCLEAR; INTERNATIONAL JOURNAL OF HIGH PERFORMANCE SYSTEM ARCHITECTURE; NEUROCOMPUTING AMSTERDAM; JOURNAL OF UNIVERSAL COMPUTER SCIENCE ONLINE; CONTROLE AMP AUTOMACAO IMPRESSO; COMPUTERS IN BIOLOGY AND MEDICINE; APPLIED SOFT COMPUTING PRINT; NEURAL NETWORKS; INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE; SOCIO ECONOMIC PLANNING SCIENCES; REMOTE SENSING; FUNDACAO CARLOS CHAGAS FILHO AMPARO A PESQUISA ESTADO RJ; UNIVERSIDADE FEDERAL RIO JANEIRO,UNIVERSIDADE ESTADO RIO JANEIRO,1,1,BR/BR/NL/IN/BR,ENGENHARIAS,3
16,1000535673605322,4.0,0,CIENCIAS BIOLOGICAS,1,49.0,18.0,UNIVERSIDADE FEDERAL SERGIPE; UNIVERSIDADE FEDERAL VICOSA; EMPRESA BRASILEIRA PESQUISA AGROPECUARIA; UNIVERSIDADE FEDERAL AMAZONAS; INSTITUTO NACIONAL PESQUISAS AMAZONIA; FOREST PATHOLOGY; PLANT DISEASE; JOURNAL OF PLANT PATHOLOGY; EMBRAPA AMAZONIA OCIDENTAL; CONSELHO NACIONAL DESENVOLVIMENTO CIENTIFICO TECNOLOGICO,EMBRAPA AMAZONIA OCIDENTAL,0,0,BR/BR/BR,CIENCIAS BIOLOGICAS,0
17,1000566631151230,4.0,1,CIENCIAS BIOLOGICAS,1,3.0,6.0,UNIVERSITY COLLEGE DUBLIN; UNIVERSITY OF REGINA; ALBERT LUDWIGS UNIVERSITAET FREIBURG; STAATLICHES MUSEUM FUR NATURKUNDE STUTTGART; UNIVERSIDADE FEDERAL RIO GRANDE SUL,UNIVERSIDADE FEDERAL RIO GRANDE SUL,1,1,IE/CA/DE/BR,CIENCIAS BIOLOGICAS,0
18,1000571813063485,2.0,1,CIENCIAS HUMANAS,0,76.0,17.0,HOSPITAL DAS CLINICAS SAO PAULO; INSTITUTO MEDICINA FETAL GENETICA HUMANA; UNIVERSIDADE BRASIL; REVISTA PSICOLOGIA HOSPITALAR 1516 0211; CENTRO ESTUDOS EM PSICOLOGIA SAUDE; REVISTA PSICOLOGIA HOSPITALAR; REVISTA ASSOCIACAO MEDICA BRASILEIRA; INTERACOES UNIVERSIDADE SAO MARCOS; PSICOLOGIA EM ESTUDO; PSICOLOGIA CIENCIA PROFISSAO; FUNDACAO AMPARO A PESQUISA ESTADO SAO PAULO; FACULDADE MEDICINA USP; HOSPITAL DAS CLINICAS FACULDADE MEDICINA USP; CENTRO UNIVERSITARIO SAO CAMILO,HOSPITAL DAS CLINICAS SAO PAULO,1,1,BR/BR/US/BR/BR,CIENCIAS HUMANAS,6
19,1000573994548737,3.0,0,CIENCIAS EXATAS E DA TERRA,1,6.0,20.0,COLEGIO ESTADUAL VISCONDE CAIRU; POLICIA CIVIL ESTADO RIO JANEIRO; UNIVERSIDADE FEDERAL RIO JANEIRO; FUNDACAO CARLOS CHAGAS FILHO AMPARO A PESQ ESTADO RIO JANEIRO,POLICIA CIVIL ESTADO RIO JANEIRO,0,1,BR,CIENCIAS EXATAS E DA TERRA,1
20,1000584916178581,5.0,1,CIENCIAS HUMANAS,1,3.0,8.0,UNIVERSIDADE ESTADO RIO JANEIRO; UNIVERSIDADE SANTA URSULA; INSTITUTO SUPERIOR ENSINO CELSO LISBOA; UNIVERSIDADE BRASILIA; DAAD UNIVERSITAT HAMBURG; ESTUDOS PESQUISAS EM PSICOLOGIA; FRACTAL REVISTA PSICOLOGIA; PSICOLOGIA TEORIA PESQUISA UNB IMPRESSO; REVISTA AVALIACAO PSICOLOGICA IBAP,ESTUDOS PESQUISAS EM PSICOLOGIA; FRACTAL REVISTA PSICOLOGIA; REVISTA AVALIACAO PSICOLOGICA IBAP,0,1,BR/BR/BR,CIENCIAS HUMANAS,6
21,1000622852662099,4.0,0,CIENCIAS AGRARIAS; CIENCIAS BIOLOGICAS,1,92.0,31.0,UNIVERSIDADE FEDERAL SANTA CATARINA; EMPRESA BRASILEIRA PESQUISA AGROPECUARIA; MOZAMBIQUE NORDIC AGRICULURE PROGRAMME; MYCORRHIZA BERLIN 0940 6360; COORDENACAO APERFEICOAMENTO PESSOAL NIVEL SUPERIOR; MYCORRHIZA BERLIN; REVISTA BRASILEIRA AGROECOLOGIA; CIENCIA RURAL UFSM IMPRESSO; INSTITUT RECERCA I TECNOLOGIA AGROALIMENTARIES; REVISTA BRASILEIRA CIENCIA SOLO IMPRESSO,INSTITUT RECERCA I TECNOLOGIA AGROALIMENTARIES; REVISTA BRASILEIRA CIENCIA SOLO IMPRESSO,1,0,BR/PK,CIENCIAS AGRARIAS,2
22,1000681368407969,2.0,0,CIENCIAS DA SAUDE,1,6.0,2.0,UNIVERSIDADE BEIRA INTERIOR; REVISTA MOTRICIDADE; INTERNATIONAL JOURNAL OF VOLLEYBALL RESEARCH; EUROPEAN JOURNAL OF SPORT SCIENCE; INSTITUTO DESPORTO PORTUGAL,REVISTA MOTRICIDADE; EUROPEAN JOURNAL OF SPORT SCIENCE,1,0,PT,CIENCIAS DA SAUDE,4
23,1000688763895346,2.0,0,CIENCIAS BIOLOGICAS,0,98.0,31.0,UNIVERSIDADE FEDERAL PARA; AMERICAN JOURNAL OF HUMAN BIOLOGY; HUMAN BIOLOGY; JOURNAL OF HEREDITY; AMERICAN JOURNAL OF HEMATOLOGY; GENETICS AND MOLECULAR BIOLOGY,UNIVERSIDADE FEDERAL PARA,1,1,BR/UA,CIENCIAS BIOLOGICAS,0
24,1000717123605254,4.0,1,LINGUISTICA LETRAS E ARTES; CIENCIAS SOCIAIS APLICADAS,1,20.0,17.0,ESCOLA CHAPEUZINHO VERMELHO; ESCOLA JOSE ANCHIETA; ESCOLA PERPETUO SOCORRO; ESCOLA OSVALDO CRUZ; ESCOLA PRESBITERIANA ERASMO BRAGA; UNIVERSIDADE FEDERAL MATO GROSSO SUL; FACULDADES INTEGRADAS NAVIRAI; FACULDADES INTEGRADAS FATIMA SUL; FACULDADE CIENCIAS ADMINISTRATIVAS PONTA PORA FAP; REVISTA INTEGRACAO; REVISTA ARANDU DOURADOS; O GUARDADOR INUTENSILIOS; JORNAL O PANORAMA; UNIVERSIDADE FEDERAL GRANDE DOURADOS; UNIVERSIDADE ESTADUAL MATO GROSSO; REVISTA LETRAS NORTEMENTOS; REALIZACAO; REALIZACAO REVISTA ONLINE EXTENSAO UFGD; UNIVERSIDADE FEDERAL MATO GROSSO; EDITORA TODAS AS MUSAS; EDITORA SERIEMA,EDITORA TODAS AS MUSAS,1,1,ES/BR/BR/BR/BR/BR/BR,LINGUISTICA LETRAS E ARTES,7
25,1000789943896082,3.0,1,LINGUISTICA LETRAS E ARTES; CIENCIAS HUMANAS,1,4.0,7.0,COLEGIO MUNICIPAL MONSENHOR STANISLAW; SECRETARIA MUNICIPAL EDUCACAO CULTURA; SECRETARIA MUNICIPAL ASSISTENCIA SOCIAL OLIVEDOS; ESCOLA MUNICIPAL ENSINO INFANTIL FUNDAMENTAL CASTRO ALVES; UNIVERSIDADE FEDERAL RURAL PERNAMBUCO,UNIVERSIDADE FEDERAL RURAL PERNAMBUCO,0,1,BR,LINGUISTICA LETRAS E ARTES,7
26,1000799938164430,5.0,1,LINGUISTICA LETRAS E ARTES,1,1.0,5.0,UNIVERSIDADE NOVE JULHO; CLARETIANO FACULDADE; STANCE DUAL SCHOOL; UNIVERSIDADE MOGI DAS CRUZES; FACULDADES OSVALDO CRUZ; P G EXPERIMENTAL CEFAM DR EDMUNDO CARVALHO; CENTRO ESTUDOS ESCOLA VILA; PONTIFICIA UNIVERSIDADE CATOLICA SAO PAULO; ESCOLA CIDADE JARDIM PLAY PEN; PREFEITURA MUNICIPIO SAO PAULO; INSTITUTO FERDINAN BRAUDEL ECONOMIA MUNDIAL; UNIVERSIDADE FEDERAL FRONTEIRA SUL; COLEGIO AMPQUOT30 OUTUBROAMPQUOT; CENTRO UNIVERSITARIO UNIFAAT; YORK SA INDUSTRIA COMERCIO; BANCO NACIONAL CREDITO COOPERATIVO SA; SIOM SA; INSTITUTO SUPERIOR EDUCACAO VERA CRUZ; MAPLE BEAR GLOBAL SCHOOLS,INSTITUTO SUPERIOR EDUCACAO VERA CRUZ,1,1,BR/BR/BR/FI/BR/BR/AU/BR,LINGUISTICA LETRAS E ARTES,7
27,1000805043084706,3.0,0,ENGENHARIAS,0,5.0,4.0,INSTITUTO FEDERAL EDUCACAO CIENCIA TECNOLOGIA PARAIBA IFPB; ENERGISA PARAIBA DISTRIBUIDORA ENERGIA; INSTITUTO FEDERAL EDUCACAO CIENCIA TECNOLOGIA RIO GRANDE NORTE; HOLOS NATAL ONLINE,HOLOS NATAL ONLINE,0,0,BR/BR,ENGENHARIAS,3
28,1000812505688631,4.0,0,CIENCIAS SOCIAIS APLICADAS,1,4.0,7.0,UNIVERSIDADE FEDERAL BAHIA; REVISTA FRAUDE; UNIVERSITY OF HERTFORDSHIRE; CONTEMPORANEA UFBA ONLINE; MATRIZES ONLINE; REVISTA PARADOXOS; FACULDADE RUY BARBOSA; REVISTA COMUNICACION Y MEDIOS,REVISTA COMUNICACION Y MEDIOS,1,0,BR/GB/US,CIENCIAS SOCIAIS APLICADAS,5
29,1000821915389311,4.0,1,CIENCIAS HUMANAS; CIENCIAS DA SAUDE,0,8.0,12.0,CADERNOS NIETZSCHE; FUNDACAO PROJETO TRAVESSIA ESTACAO CIDADANIA SUL; UNIVERSIDADE SAO PAULO; ASSOCIACAO CRUZ VERDE HOSPITAL CRIANCA COM PARALISIA CEREBRAL; UNIVERSIDADE FEDERAL PARANA; CENTRO ATENCAO PSICOSSOCIAL VARZEA PAULISTA; CADERNOS TERAPIA OCUPACIONAL UFSCAR; SAUDE SOCIEDADE ONLINE; CADERNOS ETICA FILOSOFIA POLITICA USP; REVISBRATO REVISTA INTERINSTITUCIONAL BRASILEIRA TERAPIA OCUPACIONAL; REVISTA OCUPACION HUMANA,UNIVERSIDADE SAO PAULO,0,1,BR/BR,CIENCIAS HUMANAS,6
30,1000840562015756,1.0,1,CIENCIAS BIOLOGICAS,0,6.0,5.0,FUNDACAO OSWALDO CRUZ; SOUTHWEST FOUNDATION FOR BIOMEDICAL RESEARCH; FUNDACAO TECNICO EDUCACIONAL SOUZA MARQUES; HUMAN GENETICS; CLINICAL PHARMACOLOGY; FACULDADE MEDICINA RIBEIRAO PRETO; UNIVERSITY OF TEXAS RIO GRANDE VALLEY,UNIVERSITY OF TEXAS RIO GRANDE VALLEY,1,1,BR/PL/BR/US,CIENCIAS BIOLOGICAS,0
31,1000854112796927,4.0,0,CIENCIAS AGRARIAS,1,14.0,11.0,ESCOLA SUPERIOR BATISTA AMAZONAS; UNIVERSIDADE FEDERAL RURAL RIO JANEIRO; UNIVERSIDADE NILTON LINS; INSTITUTO NACIONAL PESQUISAS AMAZONIA; UNIVERSIDADE FEDERAL AMAZONAS; FACULDADE REDENTOR; FACULDADE SALESIANA DOM BOSCO; UNIVERSIDADE ESTADUAL NORTE FLUMINENSE DARCY RIBEIRO; INSTITUTO FEDERAL EDUCACAO CIENCIA TECNOLOGIA FLUMINENSE; ESCOLA AGRICOLA RAINHA DOS APOSTOLOS; INSTITUTO FEDERAL EDUCACAO CIENCIA TECNOLOGIA RIO JANEIRO; INSTITUTO FEDERAL RIO JANEIRO,INSTITUTO FEDERAL EDUCACAO CIENCIA TECNOLOGIA FLUMINENSE,0,1,BR/BR/BR/BR/BR/BR/BR/BR/BR,CIENCIAS AGRARIAS,2
32,1000881096362848,3.0,1,CIENCIAS DA SAUDE,0,2.0,5.0,SAUDE EM DEBATE; CADERNOS SAUDE PUBLICA ENSPFIOCRUZ; DEPARTAMENTO MEDICINA PREVENTIVA FMUSP; FACULDADE MEDICINA UNIVERSIDADE SAO PAULO; SECRETARIA ESTADO SAUDE GOVERNO ESTADO SAO PAULO,DEPARTAMENTO MEDICINA PREVENTIVA FMUSP,0,0,,CIENCIAS DA SAUDE,4
33,1000896512375593,4.0,0,ENGENHARIAS; OUTROS,1,17.0,8.0,CENTRO UNIVERSITARIO ANAPOLIS; REVISTA IBERO AMERICANA MISSIOLOGIA; INSTITUTO FEDERAL GOIAS; UNIVERSIDADE FEDERAL GOIAS; ASSOCIACAO MISSIONARIA PARA DIFUSAO EVANGELHO,UNIVERSIDADE FEDERAL GOIAS,0,1,BR,ENGENHARIAS,3
34,1000908769503503,4.0,0,CIENCIAS EXATAS E DA TERRA,1,3.0,6.0,INSTITUTO FEDERAL SUDESTE MINAS GERAIS, ,0,0,BR,CIENCIAS EXATAS E DA TERRA,1
35,1000951601456635,3.0,1,LINGUISTICA LETRAS E ARTES; CIENCIAS HUMANAS,1,2.0,12.0,CENTRO UNIVERSITARIO FIEO; INSTITUTO NACIONAL POS GRADUACAO; UNIVERSIDADE SANTO AMARO; FACULDADE PAULISTA ARTES; CENTRO ESTUDOS SUPERIORES MACEIO; FACULDADES EUROPAN; FACULDADES PIO X; FACULDADE SAO BERNARDO CAMPO; ARTE REVISTA,FACULDADE PAULISTA ARTES,0,1,BR/BR/BR/BR/BR,LINGUISTICA LETRAS E ARTES,7
36,1000980298010349,1.0,1,CIENCIAS DA SAUDE,0,150.0,47.0,FUNDACAO HOSPITALAR BRASILIA; HOSPITAL SERVIDOR PUBLICO ESTADUAL; HOSPITAL HELIOPOLIS; HOSPITAL DAS CLINICAS FACULDADE MEDICINA UNIVERSIDADE SAO PAULO; JORNAL PAN AMAZONICO SAUDE; REVISTA INSTITUTO MEDICINA TROPICAL SAO PAULO IMPRESSO; CLINICAL GASTROENTEROLOGY AND HEPATOLOGY; CD ROM REVISTA MULTIMIDIA OFICIAL FEDERACAO BRASILEIRA GASTROENTEROL; ARQUIVOS GASTROENTEROLOGIA IMPRESSO; JOURNAL OF CLINICAL IMAGING SCIENCE,ARQUIVOS GASTROENTEROLOGIA IMPRESSO,1,0,EG,CIENCIAS DA SAUDE,4
37,1001013721652027,5.0,1,CIENCIAS SOCIAIS APLICADAS; CIENCIAS AGRARIAS,1,5.0,13.0,UNIVERSIDADE FEDERAL RURAL RIO JANEIRO; ALIMENTOS NUTRICAO UNESP ARARAQUARA 0103 4235; ALIMENTA ALIMENTACAO INDUSTRIAL SA; COMPANHIA DOCAS ESPIRITO SANTO; EMPRESA ASSISTENCIA TECNICA EXTENSAO RURAL; ARACRUZ FLORESTAL SA,ALIMENTOS NUTRICAO UNESP ARARAQUARA 0103 4235,1,0,BR/BR/AU,CIENCIAS SOCIAIS APLICADAS,5
38,1001018908057794,6.0,1,CIENCIAS BIOLOGICAS,1,8.0,10.0,UNIVERSIDADE FEDERAL SAO CARLOS; UNIVERSIDADE ESTADUAL PAULISTA,UNIVERSIDADE FEDERAL SAO CARLOS; UNIVERSIDADE ESTADUAL PAULISTA,0,1,BR,CIENCIAS BIOLOGICAS,0
39,1001040940232846,4.0,1,CIENCIAS AGRARIAS,1,23.0,8.0,UNIVERSIDADE FEDERAL SANTA MARIA; EMPRESA BRASILEIRA PESQUISA AGROPECUARIA; UNIVERSIDADE SOROCABA; ESCOLA SUPERIOR AGRICULTURA LUIZ QUEIROZ; UNIVERSITY OF FLORIDA CITRUS RESEARCH AND EDUCATION CENTER; UNIVERSIDADE ESTADUAL LONDRINA; SEMINA CIENCIAS AGRARIAS ONLINE,UNIVERSIDADE ESTADUAL LONDRINA,0,1,BR/BR/BR,CIENCIAS AGRARIAS,2
40,1001053972934664,3.0,0,ENGENHARIAS,1,2.0,7.0,WILLIAMS MARTINI RACING; CRANFIELD UNIVERSITY; FUNDACAO UNIVERSIDADE REGIONAL BLUMENAU,FUNDACAO UNIVERSIDADE REGIONAL BLUMENAU,1,1,GB/BR,ENGENHARIAS,3
41,1001081588116334,4.0,1,CIENCIAS AGRARIAS,1,39.0,12.0,UNIVERSIDADE FEDERAL UBERLANDIA; LABORATORIO VETERINARIO ANALISES CLINICAS TRIANGULO; INSTITUTO ZOOTECNIA GOVERNO ESTADO SAO PAULO; INSTITUTO BIOLOGICO; FACULDADE MEDICINA VETERINARIA ZOOTECNIA USP; BIOXEN PESQUISA DESENVOVLVIMENTO EM MEDICINA VETERINARIA; REVISTA BRASILEIRA PARASITOLOGIA VETERINARIA IMPRESSO; UNIVERSIDADE FEDERAL ABC; AFRICAN JOURNAL OF MICROBIOLOGY RESEARCH; ARQUIVO BRASILEIRO MEDICINA VETERINARIA ZOOTECNIA; SOCIEDADE BRASILEIRA MEDICINA TROPICAL REVISTA; THE NATURAL PRODUCTS JOURNAL; BRAZILIAN JOURNAL OF POULTRY SCIENCE; FACULDADE MEDICINA ABC; COORDENADORIA CONTROLE DOENCAS; UNYLEYA EDITORA CURSOS SA; FUNDACAO AMPARO A PESQUISA ESTADO GOIAS; JOURNAL OF SCIENTIFIC RESEARCH AND REPORTS,UNIVERSIDADE FEDERAL UBERLANDIA; FUNDACAO AMPARO A PESQUISA ESTADO GOIAS; JOURNAL OF SCIENTIFIC RESEARCH AND REPORTS,1,1,BR/US/BR/BR,CIENCIAS AGRARIAS,2
42,1001082305933555,4.0,0,LINGUISTICA LETRAS E ARTES,1,3.0,9.0,FUNDACAO ARMANDO ALVARES PENTEADO; FACULDADES SANTA MARCELINA; INSTITUTO ARTE DECORACAO; UNIVERSIDADE FEDERAL UBERLANDIA; REVISTA OUVIROUVER,REVISTA OUVIROUVER,1,0,BR/BR/PT/BR,LINGUISTICA LETRAS E ARTES,7
